18,42.9355500673
19,46.9954222554
20,43.667901307
21,47.1277620973
22,47.072472479
18,44.2413018424
19,43.1372828977
20,44.5781546341
21,48.4225608549
22,51.880152843
18,38.8831870415
19,45.2388212373
20,47.9465782714
21,47.0188612074
22,51.9122669004
18,43.4797467042
19,47.3288972579
20,43.2692715317
21,50.4457451091
22,53.4060655953
8,20.6805883504
9,22.9326114896
10,28.1477334031
11,30.0000408934
12,29.2009577455
8,21.1999646009
9,23.8062866688
10,27.7001329094
11,28.6629821034
12,32.963875604
8,19.5384769814
9,20.9355200682
10,23.7750087757
11,25.7788272666
12,29.7058714147
8,18.8378792171
9,20.6918497159
10,25.9145798424
11,25.1338882845
12,26.9147351573
1,10.8841007409
2,7.56710121864
3,10.1280575854
4,10.2485344058
5,12.0117095055
6,14.7632159022
7,22.3985256538
8,18.5462592287
9,25.4639129829
10,23.3221704543
11,25.3045200764
12,28.4750057216
13,32.9442356014
14,37.1832330644
15,33.0326054129
16,36.060788054
17,41.757576277
18,41.4915854588
19,41.8456016409
20,45.1179644439
21,47.4275978879
22,47.3417090561
23,48.6813716528
24,51.1187927113
25,59.2228550478
26,57.7899056923
27,59.0729615473
28,59.0982190141
29,65.5856612561
30,69.5436699628
